Name of the NGO,Name of the  Project,Project Site,Donor Agency,Approved Amount of External, Approved  Amount of  Internal ,Project  Sector
Nepal GirlsCare Center,Nepal GirlsCare Center Project (NGCCP).,Kathmandu,"1, Stiftelsen UngaKvinnor I Nepal(SUKN), Sweden.2, Foundation Vonk Project (FVP), The Netherlands.","2,841,830.00",,Girls
NepalGoodWeave Foundation,Socialprograms for former child carpet weavers & weaving community.,"Kathmandu,Lalitpur & Bhaktapur.","GoodWeaveInternational, USA.","20,916,000.00","2,843,700.00",Child
NepalGoodweave Foundation,Weavingeconomic opportunities for women in Nepal.,Kathmandu,"The AsiaFoundation, Kathmandu, Ph:4418345, email: tafnp@asiafound. org, www.asiafoundati on.org","7,960,534.00",,Women/men
Nepal GreenTara Foundation,SudaradeveLower Secondary School and Tashi Sangag Chholing Monastery.,Nuwakot &Solukhumbu.,"ALPHA ONEFORUM, Honkong.","1,803,443.60",,Education
Nepal JesuitSociety,Purchase ofvehicle.,Kaski,"KINDERMISSIONSWERK, Germany.","2,700,000.00","480,000.00",Child(mentally disabled)
Nepal JesuitSociety,Medicalmobile service.,"Surkhet,Sunsari, Jhapa, Kathmandu, Kaski, Kanchanpur, Chitwan & Palpa.","JIM, ChicagoUSA.","24,771,680.00",,
Nepal KarunaSewa Samaj,Ashadharawomen and children's development of Tharu community at Kohalpur.,Banke,"Conrad HiltonFund for Sister, California.","1,501,000.00",,Women/Health
Nepal KarunaSewa Samaj,Adarshawomen and children's development of Tharu community at Kohalpur - Pursase of land for the construction of staffs quarters and multipurpose hall.,Banke,"Sisters of Charity,Suore Di Carita, Italy.","5,200,000.00",,Women/Child
Nepal koRastriya Bahai Samudaya,YoubhaSammelan.,Morang &Banked,"InternationalTeaching Centre, Baha'I' World Centre, Israel","18,201,450.00","1,000,000.00",Education
Nepal LeprosyFellowship (NLF),LeprosyControl Support Project (LCSP).,"Jhapa,Sunsari, Saptari & Siraha.","AmericanLeprosy Mission, USA.","1,728,000.00","250,000.00",Health
Nepal LeprosyFellowship,ReleasingEnergy & Capacity of Leprosy Affected Individual and Marginalized People in the Eastern Development Region of Nepal (RECLAIM- EDR),"Jhapa,Sunsari, Saptari & Siraha.","The LeprosyMission Australia (TLMA) for RECLAIM EDR Project, Australia.","16,046,028.00","542,200.00",Disabity
Nepal LeprosyFellowship,LeprosyControl Support Project (LCSP),"Jhapa,Sunsari, Saptari & Siraha","AmericanLeprosy Mission(ALM), USA","382,500.00","135,550.00",Disabity
Nepal LeprosyRelief Association (NELRA),a. Nepal CarlGerold Bal Niketan. b. Nelra Byabasaik Talim.,Kathmandu,German LeprosyReliefAssociation.,"6,068,700.00","1,752,112.52",Education/Health
Nepal LhomiSociety - NELHOS,Lhomicommunity development program.,Sankhuwasabha,"Wycliffe, Finland,director_finland@ wycliffe.org www.wycliffe.fi","5,390,000.00",,Community development
Nepal LittleFlower Society,Boy's hostelfor chepang tribal children of Nepal.,Chitwan,"Missio Munchen,Germany.","15,840,000.00",,Education
NepalMadhesh Foundation (NEMAF),Workshop onLocalGovernace.,"Saptari,Dhanusha & Sarlahi.","SPCB/UNDP,Nepal","1,496,000.00",,Civil SocietyOrganizatio n
NepalMadhesh Foundation (NEMAF),Strengthening civil society in Madhesh Terai.,"Lalitpur,Morang, Siraha, Sarlahi, parsa & Banked.","Danida Hugou,Nepal.hugou@hu gou.org.np","6,000,000.00","2,000,000.00",Civil society
NepalMadhesh Foundation (NEMAF),Strengthening civil society in Madhesh Terai.,"Lalitpur,Morang, Siraha, Sarlahi, parsa & Bankd.","Danida Hugou,Nepal.hugou@hu gou.org.np","6,000,000.00","2,000,000.00",Civil society
NepalMadhesh Foundation,Strengthening Civil Society in Madhesh/Ter ai.,Siraha &Sarlahi.,"DanidaHugou,Nepal.","2,500,000.00","1,090,154.00",Community development
Nepal MahilaBishwasi Sangh,Advocacy onleadership development for young women.,Kathmandu,"World YWCA,Geneva. worldoffice@worl dywca.org, www.worldywca.o rg.","2,254,500.00",,Young(women)
Nepal MahilaEkata Samaj,Secureshelter right.,Kathmandu,"Urgent ActionFund, USA.","337,500.00",,Women
Nepal MahilaEkata Samaj,Empoweringlandless women to engage in democratic discourse process and enable them to live dignified life.,"Dhankuta,Jhapa, Morang, Sunsari, Siraha, Chitwan, Nawalparasi, Kapilvastu, Dang,Banke, Bardiya, Kathmandu& Rupandehi.","MISEREOR,Germany, email: postmaster@mis ereor.de, www.misereor.de","5,600,000.00",,
Nepal MarryChild Help Center (NMCHC),Nepal merrychild help center.,Kathmandu,"NGO HANBARA,Seoul, Korea.","600,000.00",,Child home
Nepal MatriGriha (NMG),NMGKathmandu therapy center.,Kathmandu.,"1. Chance Swiss,Switzerland. 2. Christiane Stoecklin, Switzerland.","2,969,557.00",,child
Nepal MatriGriha (NMG),NMGcomplete educational scholarship program.,Kathmandu.,"Bono Direct AidAssociation, Germanu., Stichting Water Drager (J&P), The Netherland.","1,541,760.00",,Edcuation
Nepal MatriGriha (NMG),Shree NepalMatri Griha Primary School Program.,Kathmandu.,"Net4Kinds AidFoundation, TheNetherlands.","8,890,035.00",,education
Nepal MatriGriha (NMG),Educationalscholarship program.,Kathmandu,"WBL HoldingGMBH, CAS BV Middles, Stiching Huize Buitenveldert, Holland, Ms. Rosemarie and Ute,Germany., Bono Direct Aid Association, Germany., Christiane Stoeckllin, Switzerland., Guru Anand, Malasiya.,Bluebird, Holland, Stichting Waterdrager (J&p),Netherland.","5,609,828.00",,Education
Nepal NationalDalit Social Welfare Organization (NNDSWO),DefendingHumanRights ofDalit in Nepal(DHRD).,"Darchula,Kanchanpur, Kalikot, Dailekh, Bajura, Baglung, Dhanusha and Morang.","Finn Church Aid(FCA), Finland.","6,500,000.20",1.00,Dalit
Nepal NationalDalit Social Welfare Organization,Child club inDhanusha.,Dhanusha,"DUF, Denmark,skv@duf.dk","1,395,410.97",,child/Youth
Nepal NationalDalit Social Welfare Organization,"The Schoolproject for dalit children in Saptari, Nepal.",Saptari,"Etela TapiolaHigh School, Finland.","386,500.00",,Child/Education
Nepal NationalDalit Social Welfare Organization,PromotingDalit Rights and Political Participation (PDRPP) Project.,"Dolakha,Dhading & Salyan.",NationalEndowment for Democracy (NED).,"4,000,000.00",,Dalit
Nepal NationalDalit Social Welfare Organization,Coreprogramme.,"Dailekh,Dang, Darchula, Baitadi, Kalikot and Sunsari.","Danida HUGOU,USA.hugou@hug ou.org.np","6,000,000.00",,Community development
Nepal NationalMission Commission of Nepal,Religionaleducation training project.,Lalitpur,Different donors,"1,741,710.00","120,000.00",Religion
Nepal NetraJyoti Sangh,Help Me See(HMS) NNJS/Geta Eye Hospital.,Kailali.,"Help Me See Inc.New York, USA. Fax12122217604","91,385,500.00",,Health
Nepal NetraJyoti Sangh,Help Me See(HMS) NNJS/Geta Eye Hospital.,Kailali.,"Help Me See Inc.New York, USA. Fax12122217604","91,385,500.00",,Health
Nepal PublicHealth Foundation,"Overcomingbarriers to scaling skilled birth attendants utilization in improving maternal,newborn and child health in Nepal- phase2 and 3.",Kathmandu,"World HealthOrganization(WHO),","13,252,500.00",,Health
NepalSaemaul Undong Center,"6th Nepalsaemaul tourism road project at Piple 9, Dhamili Chepang Village, Chitwan, Nepal.",Chitwan,"Gwacheon CitySaemaul Center, South Korea,","1,066,000.00","164,000.00",Community development
NepalSaemaul Undong Center,"1st NepalSaemaul digital library in Nepal- Korea Wosdom school project at Piple 7, Gadauli Village, Chitwan, Nepal.",Chitwan,"Uttam LondonFoundation Ltd, UK.","139,200.00","70,000.00",Community development
NepalSaemaul Undong Center,"8th Nepalsaemaul road project at Piple 7, Gadauli Village, Chitwan, Nepal.",Chitwan,"Korea SaemaulUndong Center, South Korea.","29,800.00",,Communitydeveloopme nt
NepalSaemaul Undong Center,"1st Nepalsaemaul computer lab in Nepal- Korea wisdom schoolproject at Piple 7, Gadauli Village, Chitwan, Nepal.",Chitwan,"Seoul Lions 354-D Korea, Korea.","405,000.00",,Water/Environment
NepalSaemaul Undong Center,"1st Nepalsaemaul water reservoir project at Piple 9, Jhurjhure Village, Chitwan",Chitwan,Korea SaemaulUndong CenterHQ,"1,207,000.00","200,000.00",Water/Environment
NepalSaemaul Undong Center,"1st Nepalsaemaul ""Hamro Kathmandu Ramro Kathmandu"" Pilot project at Kathmandu29, Nepal.",Kathmandu,"Gumi CitySaemaul Center, South Korea,","318,000.00","10,000.00",Environment
Nepal WaterConservation Foundation,"Springs,Storage towars and water conservation exploring decentralized management science for the middle hills of Nepal.",Kavrepalanchowk,ICIMOD,"4,500,000.00",,Water(academic study)
Nepal WaterFor Health (NEWAH),"Increaseassess improved water, sanitation and hygiene in Nepal.",Sindhuli,"Charity GlobalINC, USA.","128,580,015.00","33,426,557.00",Water/health/sanitation
Nepal Waterfor Health,Improvingaccess to WASH services in needy areas of Gorkha and Baglung Districts.,Baglung.,"SIMAVI, TheNetherlands.","28,215,000.00","8,817,059.00",Health &Sanitation
Nepal Waterfor Health,Improvingaccess to wash services in needy areas of Gorkha and Baglung Districts.,Gorkha &Baglung,"Fronteinlaan2012 J G Haarlem, The Netherlands.","17,100,000.00","11,445,027.00",Health &Sanitation
NepaliChildren Education Project(NCEP) Nepal,The nepalichildren's education project (Nepal) 2013-2014,Kathmandu,"The NepaliChildren's Education project, Canada, www.nceponline. org, info@nceponline. org.","2,373,360.00",,Education
NepaliNational Language Preservation Institute,"1.Pichadiyeka Khaling jatiko sabdakosh prakashan garne. 2. Pichadiyeka Thami tatha Kuling jatiharuko sabdasangra ha, kathaharu sankalantatha anubad garne.",Lalitpur,"Annemarie Hari,Switzerland.","2,901,787.00",,Language
New PeaceChild Home,Child home.,Laitpur,"InternationalHuman Dana, Italy.","210,000.00",,Child home
New AmaNepal 2063,Naya AmaNepal,Kathmandu,"a. Prof. Rupert A.Huber, Austria b. Doris Huber, Austria.","5,005,000.00",,Child home
New BlossomChildren'sHome,Enlighteningthe future of child.,Lalitpur,"KummelbyChurch, Sweden. email: Gita.Andersson@ svenskakyrkan.se","1,982,689.80",,Child home
New LifeChurch,Schoolsupport program.,Dolakha,"The LonaCommunity RC,","491,846.33","50,000.00",Edcuation
New LifeHandicap Ministries & Prayer Tower,,Kathmandu.,"New LifeInternationalMinistries, USA.","960,000.00","230,900.00",Disable
New LightNepal,Balbalikatatha chelibeti bech bikhan sambandhi talim tatha sahayog pradangarne.,Sarlahi,"1. Lori Miterko,USA, 2. Cole & Jamie Campbell, USA., 3. Christina& Donald Gardner, Singapore., 4. Frank Januszewski, USA.","905,700.00","727,300.00",Education
New PeaceChild Home,New PeaceChild Home,Lalitpur,"Lotus Enfats Du,Nepal","173,120.00",,Children
New PeaceChild Home,New peacechild home,Lalitpur,"Lotus Enfants Du,Nepal, France.","159,145.28",,Child home
New PeaceChild Home,New PeaceChild Home.,Lalitpur,"Lotus Enfants Du,Nepal, France.","168,831.04",,Child home
New PeaceChild Home,New peacechild home.,Lalitpur,"Lotus Enfats Du,Nepal, France.","159,600.00",,Child home
New PeaceChild Home,Child home,Lalitpur,"InternationalHuman Dana, Italy.","90,000.00",,Child home
New Skill andDevelopment Learning Experience (New Sadle),"Rehabilitationprogramme for leprosy and other disabled persons in Kapan, Kathmandu.",Kathmandu,Nepra ev.Germany.,"8,250,000.00","10,479,000.00",
NGOFederation of Nepalese Indigenous Nationalities (NGO-FONIN),Strengthening the participation of indiginous peoples particulary the role and contributionof indigenous women in sustainable resources management.,"Kathmandu,Makawanpur& Sankhuwasa bha.",Asian IndiginousPeople Pact(AIPP). Thailand.,"5,416,000.00",,Indiginous
NGOFederation of Nepalese Indigenous,NGO-FONIN-Strategic Partnership program (SPP).,"Kathmandu,Solikhumbu, Chitwan, Morang, Bhojpur, Ilam,Saptari, Makawanpur, Khotang, Gorkha, Sindhupalch owk, Udayapur, Sankhuwasa bha, Okhaldhung a, Kanchanpur, Nawalparasi, Sindhuli, Kailali, Sunsari, Rasuwa, & Mugu.","DanidaHugou,","5,500,000.00",,Indigenous
OperationMobilization Nepal (OM Nepal),Purchase ofthe land.,Lalitpur,OM USA.,"9,756,500.00",,2070/12/20to 2071/3/6
OperationMobilization Nepal (OM Nepal),Winteroutreach program and drinkingwater supply.,Lalitpur,"Om USA,info@usa.om.org, www.omusa.org","3,148,092.00","903,308.00",Religion
OperationMobilization Nepal (OM Nepal),"Joshuatraining course, winter outreach program and village partnership team (Community Transformati on).",Lalitpur,"OM USA, USA.","11,847,780.00","833,500.00",Religions
OperationMobilization Nepal (OM Nepal),"Neighborhood coffee shop, class room repairing and making beds.",Lalitpur,Om USA.,"1,162,500.00",,Education
Orchid Garden- Nepal (OG Nepal),Schoolsupport ot the children from disadvantage d background project.,Kathmandu,"Orchid Garden &Frank L Fernand, USA,","4,450,000.00",,Child/Education
Organizationfor Socio- Economic Development (OSED) Nepal,Steps forpromoting equal rights.,Lalitpur,"The Hague,Netherland,","257,000.00","72,800.00",Women/Child/Youth
Orphan &Destitute Children's Development Centre,"Balbalikaharuka lagi awas, kshikshya tatha sahayog karyakram.",Kaski,"a. SolvingAbelone Midtgarden, Norway, solbeml@hotmaill.com b. MarinusKlijn, Netherland.",1059800,"213,188.00",Education/Child home
Orphan ChildRescue Center (OCRC),Child home.,Bhaktapur.,"David Hann,Australia.","560,000.00",,Child home
Oursansar,Transit homeand rehabilitation program for street children - (THRP).,Parsa,"Oursansar Ltd.,UK.","6,400,000.00","500,000.00",Child
Padma Nepal,Padma NepalChildrenHome.,Kathmandu,"PadmaOrganization, USA.","3,763,200.00",,Child home
Palpa TourismDevelopment Center (PTDC),Developingcontent in the local media.,Palpa &Rupandehi,"Foundation OpenSociety, Switzerland.","1,359,300.00",,Journal
Parcel ofPeace,POP -Nuwakot development project.,Nuwakot.,"Nepalhilfe imKleinen Rahmen, Germany.","9,049,000.00",,Women/Children/Health/Education./ Environmen t
Partnership forSustainable Development- Nepal,"CommunityDevelopment, Sponsorship and School Development Project.","Ilam,Chitwan, Baglung, Kathmandu& Lamjung.","Just Aid, UK","15,000,000.00","3,750,000.00",CommunityDevelopme nt.
PartnershipNepal,Support ofbasic education and councelling fordisadvantage children2014.,Kathmandu,"Plato Foundation,Switzerland.","3,780,000.00",,Child/Education
PatanCommunity Based Rehabilitation Organization,Rehabilitationfor 50 children with disabilities.,Lalitpur,"1. Global Giving,2. Keswick School (Ghislain Smithson),","795,906.00",,Disabled
Pax Earth,Missioneducation and environment.,Kavrepalanchowk.,"Pax Earth, Japan.","450,000.00","27,500.00",Education/Environment
PeaceChildren Home Nepal,Child home,Kathmandu,"Jublee MisssionFeloowship, Korea.","2,250,000.00",,Child home
PeaceRehabilitation Center,"Rescue,Rehabilitation, Care & Support Program.","Lalitpur,Kapilvastu, Kailali, Sindhupalch owk, Rupandehi & Rasuwa.","a. Love In Action,UK b. WMPL, USA C. She is Safe, USA d.Free for Life, USAe. ReceivedFund.","25,438,265.00",,Women
Pema Ts'alSakya Monastic Institute,Pema Ts'alSakya Monastic Gumba support program.,Kaski,"VikramasilaFoundation, USA, paldensakya@vik ramasila.org.","2,100,000.00",,Child
PhoolbariService Centre,Swasthatatha samajik sewa karyakram.,Tanahun,"Phoolbaari Nepale.v.Kassel, Germany.www.ph oolbaari-nepal.de, Phoolbaari@aol.c om","9,000,000.00",,Health/Social service
PietroTaricone Foundation,Schoolbuilding construction.,Mustang,"Pietro TariconeOnlus, Italy","22,890,054.00
173",,Education
Population,Evaluation ofa program to prevent pre- eclampsia and eclampsia through calcium supplementat ion for pregnant women endlinesurvey calcium pilot district in Dailekh.,Dailekh,"JHPIEGO/Nepal,Lalitpur.",3007439,,Health
Prabhav,Protrac andTheotracProgrammes,Kaski,"1. Tear, TheNetherlands. 2. Shanti Charitable Trust, UK. 3. INF, UK.","7,964,000.00","13,429,600.00",Education
Practical HelpAchievingself Empowerment (PHASE Nepal),PHASENepal - diarrhea control programme.,Bajura,PHASE Australia.,"3,995,900.00",,Health
Pravasi NepaliCoordination Committee (PNCC),Access toJustice - II,"Kathmandu,Jhapa, Mahottarai, Chitwan, Makawanpur, Palpa & Rukum.","Open SocietyFoundation, USA, opensocietyfound ation.org.","13,125,000.00",,Education
Pravasi NepaliCoordination Committee (PNCC),Promotingandprotecting the human rights of migrant workers form Nepal and South Asia.,Kathmandu,"Human RightsGrant Scheme - Australia Aid, Kathmandu.www. ausaid.gov.au.","4,891,860.00",,Human right
Pravasi NepaliCoordination Committee (PNCC),"Initiative onCommunity, Labor-rights, Understandin g and Diaspora Empowerme nt of Nepal migrants (INCLUDE- Nepal Migrants).","Kathmandu,Jhapa, Chitwan, Makawanpur, Rukum, Mahottarai, Kanchanpur, Palpa","Humanity United,California.","9,790,510.00",,Migrants
